id,oldId,title,prompt,text,isHidden,isPg,isFeatured,temperature,topP,createdAt,updatedAt
11,,The Bitch Ass Adventure,bitch ass,"Once upon a time, in a [adjective] land, there lived a [noun] named [proper_noun]. [Proper_noun] was known for their [adjective] attitude and their love for [plural_noun]. One day, [proper_noun] went on a quest to find the legendary [adjective] [noun]. Along the way, they encountered a [adjective] [animal] who tried to steal their [noun]. After a fierce battle, [proper_noun] emerged victorious and continued on their journey, finally reaching the [adjective] [noun] and becoming the most [adjective] hero in all the land.",false,false,false,0.70,1.00,2025-01-25 07:42:45.200792+00,2025-01-25 07:42:45.200792+00
12,,Bananas in the Fountain,Bananas in the fountain,"Once upon a time, a [adjective] monkey named [name] stumbled upon a beautiful fountain in the middle of the [noun]. It was filled with [liquid] and surrounded by colorful [plural_noun]. The monkey couldn't resist the temptation and decided to [verb] into the fountain, causing a hilarious commotion. The people nearby couldn't stop laughing at the sight of a [adjective] monkey splashing around in the fountain!",false,true,false,0.70,1.00,2025-01-25 07:50:46.306542+00,2025-01-25 07:50:46.306542+00
13,,What I Mean,"You know what i mean ","You know what [noun] I mean. It's like when you're trying to [verb] but you just can't seem to [verb] the [noun]. It's really frustrating, you know what I mean? Sometimes you just have to [adjective] [noun] and hope for the best.",false,true,false,0.70,1.00,2025-01-25 07:58:03.706729+00,2025-01-25 07:58:03.706729+00
14,,Three-Legged Race,Three-Legged Race,"The annual [adjective] three-legged race at the [noun] festival was a hilarious sight to see. Participants had to [verb] their [body_part] together with their partner's, making it quite a challenge to move quickly. Some pairs even ended up [adverb] falling over, much to the amusement of the crowd. The winners received a trophy and a prize of [number] dollars.",false,true,false,0.70,1.00,2025-01-25 10:14:27.100175+00,2025-01-25 10:14:27.100175+00
15,,Three-Legged Race,Three-Legged Race,"The annual [adjective] three-legged race at the [noun] festival was a hilarious sight to behold. Participants had to use teamwork and coordination as they [verb] their way through the obstacle course. Some pairs were so [adjective] that they ended up [adverb] falling over, much to the amusement of the crowd. In the end, the [adjective] team managed to [verb] their way to victory, earning themselves a shiny [noun] as a prize.",false,true,false,0.70,1.00,2025-01-25 10:15:12.720629+00,2025-01-25 10:15:12.720629+00
16,,El junte de la nube y el rayo,El junte de la nube y el rayo,"Había una vez una [adjective] nube que vivía en el cielo. Un día, la nube conoció a un [adjective] rayo que iluminaba el cielo con su brillo. La nube y el rayo se volvieron amigos y juntos crearon un espectáculo [adjective] en el cielo. La gente quedaba maravillada al ver la nube y el rayo juntos, formando un espectáculo [adjective] de luces y colores.",false,true,false,0.70,1.00,2025-01-25 11:28:55.88572+00,2025-01-25 11:28:55.88572+00
17,,Fun Day Out,Fun day out,Today was a [adjective] day for a [noun] out with my [adjective_noun]. We decided to [verb] to the [place] and had a [adjective] time. We even managed to [verb] a [adjective] [noun] on the way!,false,true,false,0.70,1.00,2025-01-25 11:30:44.432015+00,2025-01-25 11:30:44.432015+00
18,,Letting Go,"I let go easily ","I always find it difficult to let go of [plural_noun], but I know it's important for my mental health. When I feel [adjective] about something, I try to remind myself that holding on too tightly only causes more [plural_noun]. Instead, I focus on [verb_ing] my mind and allowing myself to move forward. It's a constant process, but I know that [plural_noun] are a normal part of life.",false,true,false,0.70,1.00,2025-01-25 12:45:39.448123+00,2025-01-25 12:45:39.448123+00
19,,Chinchu,Chinchu,"Chinchu the [adjective] chinchilla loved to [verb] in the [noun]. One day, Chinchu found a [adjective_2] [noun_2] and decided to [verb_2] it. Chinchu's [adjective_3] [relative] was very surprised when they saw Chinchu's new [noun_3]!",false,true,false,0.70,1.00,2025-01-25 13:01:05.689149+00,2025-01-25 13:01:05.689149+00
20,,Lost in the Desert,Lost in the desert,"I was [verb_ing] through the hot desert when I suddenly spotted a [adjective] [noun] in the distance. As I got closer, I realized it was actually a [animal] standing next to a [noun]. Feeling [emotion], I cautiously approached the [animal] and asked for directions. Surprisingly, the [animal] offered to guide me out of the desert and we [verb_ed] together until we reached safety.",false,true,false,0.70,1.00,2025-01-25 13:01:28.232102+00,2025-01-25 13:01:28.232102+00
21,,Midnight Haunted Carnival,Haunted carnival ride at midnight,"Last [adjective] night, I decided to go to the haunted carnival at midnight. As I approached the entrance, I could hear the sound of [plural noun] creaking and the distant screams of [plural noun]. Once inside, the air was filled with a sense of [adjective] dread and the smell of [adjective] cotton candy. Suddenly, a [noun] jumped out at me, causing me to [verb] in fear.",false,true,false,1.00,1.00,2025-01-25 13:12:41.131398+00,2025-01-25 13:12:41.131398+00
22,,A Day at the Zoo,Ons,"Today, I went to the [zoo] with my [adjective] friend. We saw a [animal] in the [color] enclosure. It was [adjective] and [adjective]. We also watched a [adjective] [animal] [verb] in the [adjective] pool. It was a [adjective] day at the [zoo]!",false,true,false,0.70,1.00,2025-01-25 13:58:51.559717+00,2025-01-25 13:58:51.559717+00
23,,One Night Stand,One night stand,"Last night, I went to a [adjective] bar and met a [noun] named [proper_noun]. We hit it off and ended up going back to [proper_noun]'s place. Things got pretty [adjective] and we ended up spending the night together. In the morning, I snuck out and never saw [proper_noun] again.",false,false,false,0.70,1.00,2025-01-25 13:59:15.052898+00,2025-01-25 13:59:15.052898+00
24,,A Strange Encounter,A strange encounter,"One [adjective] evening, I was walking through the [noun] when I saw a [adjective] [noun] wearing a [color] hat. I couldn't believe my [body_part]! I approached the [noun] and asked if it was lost. To my surprise, the [noun] started speaking to me in a [adjective] voice. It told me its name was [name] and that it was from the planet [planet]. I was [emotion] but also excited to have such a [adjective] encounter. We ended up spending the entire [time_of_day] together, exchanging stories and laughing at each other's jokes. As the [time_of_day] came to an end, I waved goodbye to my new [adjective] friend and watched as it disappeared into the night sky.",false,true,false,0.70,1.00,2025-01-25 14:32:34.529865+00,2025-01-25 14:32:34.529865+00
25,,Lost in a Parallel Universe,Lost in a parallel universe,"I woke up in a [adjective] forest, surrounded by [plural_noun]. As I wandered through the trees, I stumbled upon a [adjective] [noun]. It led me to a [adjective] castle, where I met a group of [plural_noun] who told me I was in a parallel universe.",false,true,false,0.70,1.00,2025-01-25 14:43:23.930687+00,2025-01-25 14:43:23.930687+00
26,,A Jehovah Witness Conversation,A Jehovah witness conversation,"The other day, I was [verb_ing] in my living room when the doorbell rang. I opened the door to find two [adjective] Jehovah's Witnesses standing there. They asked if I had a moment to talk about their [noun]. I politely declined, but they were very [adverb] persistent. Eventually, I had to [verb] them to leave.",false,true,false,0.70,1.00,2025-01-25 15:24:33.81875+00,2025-01-25 15:24:33.81875+00
27,,HYPERCUBED Robotics Team,HYPERCUBED robotics team,"The [adjective] HYPERCUBED robotics team worked tirelessly to create a [adjective] robot that could [verb] through obstacles and [verb] objects. With their [adjective] design and [noun], they were able to [verb] the competition and take home the [noun].",false,true,false,0.70,1.00,2025-01-25 15:30:59.900979+00,2025-01-25 15:30:59.900979+00
28,,J P MUSIC,J P MUSIC,I love listening to [adjective] music while I [verb] around the house. It really helps me [adverb] get through my chores. Sometimes I even [verb] to the beat while I'm [verb] the dishes. The music just makes everything more [adjective].,false,true,false,0.70,1.00,2025-01-25 16:13:17.72926+00,2025-01-25 16:13:17.72926+00
29,,A Day at the Beach,Walking on the beach with dazzo,"I was [verb_ing] on the beach with my [adjective] [noun] when suddenly a [animal] ran past us and into the water. We were both so [emotion] and couldn't believe what we had just seen. We quickly [verb_past_tense] after it to make sure it was okay, and luckily it was just playing in the waves.",false,true,false,0.70,1.00,2025-01-25 16:20:52.764307+00,2025-01-25 16:20:52.764307+00
30,,Storming the Castle,Storming the castle,"Once upon a time in a [place] far, far away, a brave [adjective] knight named Sir [name] embarked on a quest to storm the [adjective] castle of the evil [noun]. Armed with a [weapon] and accompanied by his loyal [animal], Sir [name] journeyed through the [adjective] forest, facing many [adjective] challenges along the way. Finally, he reached the castle and engaged in a fierce battle with the [adjective] dragon guarding it. After a long and [adjective] fight, Sir [name] emerged victorious, freeing the kingdom from the [adjective] tyrant's rule.",false,true,false,0.70,1.00,2025-01-25 16:21:55.303406+00,2025-01-25 16:21:55.303406+00
31,,Villain Origin Story,"My villian origin story ","Once upon a time, there was a [adjective] [animal] named [name]. [Name] had always felt [emotion] towards the world, and this feeling only grew stronger as [he_she] got older. One day, [name] discovered [his_her] [superpower] powers and realized that [he_she] could use them to [verb] the world. From that moment on, [he_she] embraced [his_her] inner [villain_type] and set out to [verb] chaos and destruction wherever [he_she] went. The world would never be the same again.",false,true,false,0.70,1.00,2025-01-25 16:22:24.335175+00,2025-01-25 16:22:24.335175+00
32,,Horror Story,"Horror story ","Once upon a time, in a [place], there lived a [adjective] [creature]. This creature had [number] [body part] and [color] [body part]. People in the village were terrified of this creature, and for good reason. It had a habit of [verb ending in -ing] unsuspecting villagers in the dead of night. One fateful evening, a brave [occupation] decided to confront the creature. Armed with a [weapon], they ventured into the [adjective] forest where the creature was said to dwell. As they crept through the woods, the [adjective] moon cast an eerie glow, and the [adjective] trees seemed to whisper warnings. Suddenly, the creature emerged from the shadows, its [adjective] eyes gleaming with malice. The [occupation] stood their ground, ready to [verb] the beast and put an end to its reign of terror.",false,false,false,0.70,1.00,2025-01-25 16:25:41.477192+00,2025-01-25 16:25:41.477192+00
33,,Shakespearean Diss Track,Shakespearean diss track,"Oh thou [adjective] [noun], thy visage is as foul as a [adjective] [noun]. Thy [body_part] doth offend the senses, and thy breath reeks of [liquid]. Thou art a [adjective] [noun] and a [adjective] [noun]. I challenge thee to a duel of [noun] and may the best [noun] win!",false,true,false,0.70,1.00,2025-01-25 16:25:49.574968+00,2025-01-25 16:25:49.574968+00
34,,Getting Ready for Johnny's Funeral,Grwm for johny funeral,"Today I woke up feeling [adjective] because I had to get ready for Johnny's funeral. I decided to wear a [color] [noun] and a pair of [adjective] shoes. As I looked in the mirror, I realized my [body_part] was covered in [adjective] [plural_noun]! I quickly grabbed a [adjective] tissue to clean myself up before heading to the funeral. When I arrived, I saw all of Johnny's [adjective] friends and family gathered to pay their respects.",false,true,false,0.70,1.00,2025-01-25 16:27:24.00886+00,2025-01-25 16:27:24.00886+00
35,,Sisterly Rivalry,Get ready with me to kill my sister,"Today, I am getting ready to [verb_present_tense] my sister. First, I need to pick out the perfect [adjective] outfit that will make her green with envy. Then, I will carefully apply [plural_noun] to my face to enhance my natural beauty. Finally, I will put on my [article_of_clothing] and head out to [place] to confront her. This is going to be epic!",false,false,false,0.70,1.00,2025-01-25 16:28:12.090649+00,2025-01-25 16:28:12.090649+00
36,,Pick Me GRWM,Pick me grwm,"Today I went to the [adjective] salon to get my [body_part] and [body_part] done. While I was there, I chatted with my [relationship] who is a [occupation] about [adjective] topics. After that, I went to the [place] to pick out a new [article_of_clothing] for the [event]. It was a [adjective] day!",false,true,false,0.70,1.00,2025-01-25 16:29:22.227188+00,2025-01-25 16:29:22.227188+00
37,,Getting Ready for a Date with Cherry,Grwm for a date with cherry,"Today, I'm getting ready for a date with [a_person], and I'm feeling so [an_emotion]! I can't decide what to wear, but I think I'll go with a [an_adjective] [a_clothing_item] to impress Cherry. I hope we have a [an_adjective] time and that Cherry likes my [a_body_part]!",false,true,false,0.70,1.00,2025-01-25 16:29:45.577582+00,2025-01-25 16:29:45.577582+00
38,,Shakespearean Diss Track,Shakespearean diss track,"To [verb] or not to [verb], that is the question. Whether 'tis nobler in the mind to [verb] the slings and arrows of outrageous fortune, or to take arms against a sea of troubles and by opposing end them. Alas, poor Yorick! I knew him, [adjective]; a fellow of infinite jest, of most excellent fancy. Good night, sweet [noun], and flights of [noun] sing thee to thy rest.",false,true,false,0.70,1.00,2025-01-25 16:31:10.172011+00,2025-01-25 16:31:10.172011+00
39,,Diss Track,Diss track,"Yo, listen up [adjective] [noun]! You think you're so [adjective] with your [plural_noun] and your [adjective] [noun], but you're just a [adjective] [noun]. Your [body_part] is as [adjective] as a [noun] and your [plural_noun] are as [adjective] as a pile of [noun]. You couldn't rap your way out of a [noun] if your life depended on it!",false,true,false,0.70,1.00,2025-01-25 16:31:44.608347+00,2025-01-25 16:31:44.608347+00
40,,Mr. Downing's Villain Origin Story,Mr. Downing's villian origin story,"Once upon a time, in a [place_type] far, far away, there lived a [adjective] man named Mr. Downing. Mr. Downing was a [profession] by day, but by night, he transformed into a [supernatural_creature]. His transformation was triggered by the light of the [celestial_body], which imbued him with incredible strength and [emotion]. As a [supernatural_creature], Mr. Downing sought revenge on the [noun_plural] who had wronged him in the past, using his newfound powers to wreak havoc on the [location]. The people of the [location] lived in fear of Mr. Downing, for they knew that he was a force to be reckoned with.",false,true,false,0.70,1.00,2025-01-25 16:35:23.524245+00,2025-01-25 16:35:23.524245+00
41,,Zajac's Original Song,Zajacs original song,"Once upon a time, there was a [noun] named Zajac. He loved to [verb] in the [place] while strumming his [musical_instrument]. One day, he wrote a [adjective] song about his favorite [noun]. The song was so [adjective] that it made everyone in the [place] [verb] with joy.",false,true,false,0.70,1.00,2025-01-25 16:37:18.7173+00,2025-01-25 16:37:18.7173+00
42,,Mrs. Zajac's Skincare Routine,Mrs. Zajacs skincare routine,"Every morning, Mrs. Zajac starts her skincare routine by washing her face with [a_liquid] cleanser. Next, she applies a few drops of [an_adjective] serum to help hydrate and brighten her skin. After that, she gently massages [a_flower] moisturizer onto her face and neck. Finally, she finishes off her routine by applying [a_color] sunscreen to protect her skin from the sun's harmful rays.",false,true,false,0.70,1.00,2025-01-25 16:39:10.008801+00,2025-01-25 16:39:10.008801+00
43,,A Day in the Life of Townsville,a day in the life of Townsville,"In the morning, [noun] wakes up to the sound of [animal_sound] coming from outside. [name] quickly gets out of bed and goes to the kitchen to make [beverage]. After enjoying [beverage], [name] heads out to the park to [verb] with their friends. The sun is shining, the birds are singing, and everyone is [adjective]. It's just another day in the bustling town of Townsville.",false,true,false,0.70,1.00,2025-01-25 16:41:51.956812+00,2025-01-25 16:41:51.956812+00
44,,Lost in a Dream World,Lost in a dream world,"I was [verb_ing] through a [adjective] forest when suddenly I spotted a [noun]. As I reached out to touch it, I was transported to a [adjective] land filled with [plural_noun]. I couldn't believe my [body_part] as I explored this magical place, filled with [adjective] [plural_noun] and [verb_ing] [plural_noun]. I never wanted to leave this [adjective] dream world.",false,true,false,0.70,1.00,2025-01-25 16:52:26.387008+00,2025-01-25 16:52:26.387008+00
45,,Thief’s in the night,Thief’s in the night,"Last night, a [adjective] thief broke into the [adjective_noun] and stole a valuable [noun]. The owner of the [adjective_noun] was [emotion] when they discovered the theft. The thief left behind a [adjective] [noun] at the scene of the crime, which the police are using to track down the culprit.",false,true,false,0.70,1.00,2025-01-25 16:53:33.178707+00,2025-01-25 16:53:33.178707+00
46,,On the Beat and Mic,On the beat and mic,"Last night, I went to a [noun] concert and it was absolutely [adjective]! The band played their [adjective_noun] and the crowd went wild. The lead singer [verb] across the stage, captivating the audience with their [adjective] voice. It was definitely a night to remember.",false,true,false,0.70,1.00,2025-01-25 17:28:54.35317+00,2025-01-25 17:28:54.35317+00
47,,Hansel and Gretel's Modern Adventure,Spinoff of famous fairytale,"Once upon a time, in a [place], lived a brother and sister named [name_1]. They loved to [verb_1] together in the [noun_1]. One day, they stumbled upon a magical [noun_2] that led them to a [adjective_1] world. They met a friendly [animal] who helped them find their way back home.",false,true,false,0.70,1.00,2025-01-25 17:56:35.451204+00,2025-01-25 17:56:35.451204+00
48,,Paloma Mad Lib,Paloma,"Paloma was a [adjective] [noun] who loved to [verb] in the [place]. One day, she found a [adjective] [noun] and decided to [verb] it. Little did she know, the [noun] belonged to a [adjective] [noun] who was very [emotion]. When the [adjective] [noun] saw Paloma [verb], it started to [verb] and chased her all over the [place]. Paloma quickly realized that [adjective] [noun] was not to be messed with and apologized, returning the [noun] to its rightful owner.",false,true,false,0.70,1.00,2025-01-25 17:58:08.565226+00,2025-01-25 17:58:08.565226+00
49,,Paloma,Paloma,"One day, [adjective] Paloma decided to [verb] to the [place]. When she got there, she saw a [adjective] [noun] and [adverb] decided to [verb]. However, when she tried to [verb] the [noun], it [past_tense_verb] away!",false,true,false,0.70,1.00,2025-01-25 17:58:26.844501+00,2025-01-25 17:58:26.844501+00
50,,Night Out,Night out,"Last [adjective] I went out with my friends for a night on the town. We started off at a [noun] where we [verb] and [adverb] danced to the music. Then we decided to grab some [plural_noun] at a nearby [place]. After that, we [verb] to a [adjective] club where we [verb] until the early hours of the morning.",false,true,false,0.70,1.00,2025-01-25 18:00:00.096262+00,2025-01-25 18:00:00.096262+00
51,,Lost in the Forest,Lost in a forest,"One day, [adjective] Little Red Riding Hood got lost in the [adjective] forest while on her way to her grandmother's house. She wandered for hours, feeling [emotion] and [adjective] until she stumbled upon a [noun]. Suddenly, a [adjective] wolf appeared and offered to help her find her way out of the forest. Little Red Riding Hood was [emotion] but decided to trust the wolf. After walking for what seemed like [number] hours, they finally reached her grandmother's house. Little Red Riding Hood learned that sometimes, even in the darkest of forests, there are [plural_noun] to guide you home.",false,true,false,0.70,1.00,2025-01-25 19:10:38.965004+00,2025-01-25 19:10:38.965004+00
52,,Creep Mad Lib,Creep,"I was [verb_ing] in the park when I saw a [adjective] [noun] lurking in the bushes. It gave me the creeps and I quickly [verb_ed] away. As I turned the corner, I bumped into a [adjective] [noun] who was [verb_ing] at me with a [adjective] look in their eyes. I [adverb] ran in the opposite direction, hoping to escape the creepy encounters.",false,true,false,0.70,1.00,2025-01-25 19:17:22.856135+00,2025-01-25 19:17:22.856135+00
53,,Anime Mad Lib,Anime,"My favorite anime is [adjective] [noun]. The main character is [adjective] and always wears a [color] [noun]. They are on a quest to find the [adjective] [noun] and defeat the evil [adjective] [noun]. Along the way, they meet a [adjective] [noun] who helps them in their journey.",false,true,false,0.70,1.00,2025-01-25 19:51:07.364365+00,2025-01-25 19:51:07.364365+00
54,,The Confession of Love,"Girl saying I love you ","Once upon a time, a [adjective] girl was sitting on a [noun] bench in the park when she suddenly spotted her [adjective] crush walking towards her. Her heart began to [verb] as she tried to muster up the courage to say those three little words, 'I love you.' As he got closer, she finally blurted out the words, 'I love you!' He stopped in his tracks, turned to her with a [adjective] expression on his face, and replied, 'I love you too.' The girl's face lit up with [noun] as they embraced and shared a [adjective] moment together.",false,true,false,0.70,1.00,2025-01-25 20:02:55.368414+00,2025-01-25 20:02:55.368414+00
55,,Action Movie Mad Lib,Action movie,"The [adjective] [noun] ran through the [place] with a [adjective] look on their face. Suddenly, they encountered a group of [plural_noun] who were [verb_ing] at them. Without hesitation, they reached for their [weapon] and [past_tense_verb] at the attackers. After a fierce battle, the [adjective] hero emerged victorious, saving the [adjective] [noun] from certain doom.",false,true,false,0.70,1.00,2025-01-25 20:09:41.23194+00,2025-01-25 20:09:41.23194+00
56,,Donald Trump and Sharks,"donald trump sharks ","Once upon a time, [adjective] Donald Trump went on a vacation to [place]. Little did he know, the waters were infested with [plural noun]. As he went for a swim, he encountered a group of [adjective] sharks. Instead of being scared, he decided to challenge them to a game of [noun]. Surprisingly, the sharks were great sports and they all ended up [verb ending in -ing] together.",false,true,false,0.70,1.00,2025-01-25 20:15:38.169127+00,2025-01-25 20:15:38.169127+00
57,,She on Me,She on me,"I met a [adjective] girl at the [noun] and she immediately caught my attention. Her [color] eyes sparkled in the dim light, and her [adjective] smile was contagious. We talked for hours, and I couldn't help but feel [emotion] towards her.",false,true,false,0.70,1.00,2025-01-25 20:41:17.613888+00,2025-01-25 20:41:17.613888+00
58,,The Best School Day,"the best school day ","Today was the best [adjective] day at [school_subject]. I woke up feeling [emotion] because I knew we were going to have a [adjective] day. In [teacher]'s class, we did a [adjective] experiment that made everyone [verb]. During [lunch_time], I sat with [friend] and we [verb] about our plans for the weekend. After school, I went to [extracurricular_activity] practice and had a [adjective] time. Overall, it was the best day ever!",false,true,false,0.70,1.00,2025-01-25 20:56:03.200912+00,2025-01-25 20:56:03.200912+00
59,,Lost in a Dream World,Lost in a dream world,"I found myself [adjective] wandering through a [adjective] forest, with [plural_noun] hanging from the trees. Suddenly, I stumbled upon a [noun] that was glowing with a [color] light. As I approached the [noun], I felt a [adjective] sensation wash over me. I reached out to touch it, and the next thing I knew, I was flying through the sky with a flock of [birds].",false,true,false,0.70,1.00,2025-01-25 22:15:25.022058+00,2025-01-25 22:15:25.022058+00
60,,The Mysterious Purple Umbrella,Purple umbrella in desert,"Once upon a time in a [adjective] desert, there was a [noun] who stumbled upon a [adjective] purple umbrella. The [noun] was [adverb] curious and decided to open the umbrella. To their surprise, the umbrella transported them to a magical land filled with [plural noun] and talking animals. The [noun] had the adventure of a lifetime before finally finding their way back home.",false,true,false,0.70,1.00,2025-01-25 23:01:31.589737+00,2025-01-25 23:01:31.589737+00
61,,Bring Your Kid to Work Day,Bring your kid to work day,"Today is [adjective] Bring Your Kid to Work Day at the [company_name] office. My [relative] brought me along to see what they do all day. When we got there, I was amazed by all the [noun_plural] and [adjective] people working in the office. My favorite part was when I got to sit in on a meeting and pretend to be a [job_title]. It was so much fun and I can't wait to come back next year!",false,true,false,0.70,1.00,2025-01-25 23:16:08.211901+00,2025-01-25 23:16:08.211901+00
62,,Lost in a Dream World,Lost in a dream world,"I woke up in a [adjective] world, where the sky was [color] and the grass was made of [plural_noun]. I wandered through the [adjective] forest, where the trees whispered [adjective] secrets. Suddenly, I stumbled upon a [noun] who offered to guide me through this enchanting land. As we journeyed, we encountered [adjective] creatures and [verb] in the magic of this dream world.",false,true,false,0.70,1.00,2025-01-25 23:17:39.742292+00,2025-01-25 23:17:39.742292+00
63,,Surviving a School Shooting,how to survive a school shooting,"If you find yourself in the midst of a [dangerous_situation], the most important thing to do is to stay calm. First, find a safe place to hide, such as [under_a_desk] or in a [locked_room]. If you are unable to find a safe place, try to [run_silently] to the nearest exit. Once you are in a safe location, call [emergency_services] and wait for help to arrive.",false,true,false,0.70,1.00,2025-01-25 23:17:59.991836+00,2025-01-25 23:17:59.991836+00
64,,Lost in a Dream World,Lost in a dream world,"Once upon a time, [a_city] in a faraway land, there lived a [adjective] [noun]. One day, [they] fell asleep and found [themself] lost in a [adjective] dream world. In this dream world, [they] encountered [a_number] [noun_plural] and [a_color] [adjective] unicorns. [They] spent hours exploring the dream world and eventually woke up feeling [emotion].",false,true,false,0.70,1.00,2025-01-25 23:19:31.648046+00,2025-01-25 23:19:31.648046+00
65,,Weird Day with Daughter,Weird day of hanging out with a daughter,"Today was a [adjective] day. I took my daughter to the [noun] and we saw a [adjective] [noun]. It was so [adjective] that we couldn't stop [verb ending in -ing]! After that, we went to the [place] and had a [adjective] time. I love spending time with my daughter, even on the weirdest of days.",false,true,false,0.70,1.00,2025-01-25 23:22:40.743256+00,2025-01-25 23:22:40.743256+00
66,,Secrets in the Locker Room,Secrets in the locker room,"The [adjective] [noun] in the locker room was always a source of gossip among the team. One [noun] claimed to have seen a [adjective] [noun] hidden inside, while another said they found a [noun] with a mysterious note. It was all very [adjective] and [adjective]. The [noun] were dying to know the truth, but the [noun] refused to reveal anything.",false,true,false,0.70,1.00,2025-01-25 23:25:51.359084+00,2025-01-25 23:25:51.359084+00
67,,Chef in the Holocaust,a day in the life of a chef in the holocaust,"As a [noun_plural] in the Holocaust, I had to be creative with my cooking. I would sneak [adjective] [noun_plural] from the camp's supplies to add flavor to the bland meals. One day, I managed to steal a whole [noun] and used it to make a special dish for my fellow prisoners. It was a small moment of joy in the midst of the horrors we faced.",false,false,false,0.70,1.00,2025-01-25 23:26:51.879526+00,2025-01-25 23:26:51.879526+00
